ID,Date,ProductID,SalesPerson,Quantity
8b424076,2023-09-01,16,14,1
f75cbccf,2023-12-20,12,12,1
bc71cd08,2023-01-18,19,4,1
37025419,2023-05-12,19,8,3
4f4675e3,2023-09-06,3,2,1
b489ec0c,2023-07-09,4,13,4
ec665770,2023-01-18,6,11,3
6125a47f,2023-09-19,13,9,3
9187cfdc,2023-08-01,13,9,4
fec303f8,2023-08-20,12,13,4
a93352c2,2023-04-17,3,6,4
fab71654,2023-02-07,3,14,4
758faf77,2023-08-24,17,9,1
43809ca3,2023-02-09,8,4,1
4d229e4b,2023-02-26,15,12,3
752c6e19,2023-11-27,15,16,1
5c308049,2023-09-07,14,2,4
94324fb0,2023-08-08,17,6,2
bb48d52c,2023-01-29,12,14,2
4708a899,2023-12-23,3,4,3
