TransactionID;Date;ClientID;ProductID;Quantity;TotalPrice;StyleID;Category;ProductName;Price;StyleName;Material;Name;Country
1;2023-12-01 20:25:14;1009;2029;5;547,5;3005;Clothing;Product_2029;109,5;Style_3005;Cotton;Client_1009;Italy
2;2023-08-17 10:57:18;1075;2015;9;1130,67;3006;Accessories;Product_2015;125,63;Style_3006;Silk;Client_1075;Japan
3;2023-08-02 12:25:14;1015;2033;4;1765,72;3007;Clothing;Product_2033;441,43;Style_3007;Polyester;Client_1015;UK
4;2023-08-16 08:43:15;1024;2007;2;672,6;3019;Clothing;Product_2007;336,3;Style_3019;Polyester;Client_1024;UK
5;2023-12-19 08:10:05;1038;2012;3;1458,42;3003;Shoes;Product_2012;486,14;Style_3003;Polyester;Client_1038;Germany
6;2023-06-02 16:02:53;1035;2049;1;159,34;3004;Shoes;Product_2049;159,34;Style_3004;Cotton;Client_1035;Australia
7;2023-06-03 09:32:15;1094;2030;6;2832;3019;Clothing;Product_2030;472;Style_3019;Polyester;Client_1094;USA
8;2023-02-07 12:42:31;1095;2021;6;653,04;3010;Clothing;Product_2021;108,84;Style_3010;Silk;Client_1095;France
9;2023-11-07 01:46:40;1049;2031;1;303,44;3007;Accessories;Product_2031;303,44;Style_3007;Polyester;Client_1049;Italy
10;2023-04-03 04:25:14;1069;2024;3;858,03;3015;Accessories;Product_2024;286,01;Style_3015;Leather;Client_1069;Germany
11;2023-03-24 08:18:44;1062;2020;5;1126,35;3017;Shoes;Product_2020;225,27;Style_3017;Leather;Client_1062;Germany
12;2023-02-10 10:40:00;1060;2037;3;701,1;3018;Clothing;Product_2037;233,7;Style_3018;Cotton;Client_1060;Germany
13;2023-07-05 11:04:30;1050;2004;3;170,25;3011;Shoes;Product_2004;56,75;Style_3011;Silk;Client_1050;France
14;2023-06-21 23:31:10;1078;2028;3;823,56;3003;Clothing;Product_2028;274,52;Style_3003;Polyester;Client_1078;Australia
15;2023-02-05 16:59:06;1075;2044;5;2271,75;3008;Clothing;Product_2044;454,35;Style_3008;Leather;Client_1075;Japan
16;2023-02-25 09:12:04;1009;2020;5;1126,35;3017;Shoes;Product_2020;225,27;Style_3017;Leather;Client_1009;Italy
17;2023-11-10 08:28:50;1034;2024;4;1144,04;3015;Accessories;Product_2024;286,01;Style_3015;Leather;Client_1034;USA
18;2023-11-29 15:57:07;1076;2050;1;90,68;3018;Clothing;Product_2050;90,68;Style_3018;Cotton;Client_1076;UK
19;2023-11-23 02:32:48;1099;2049;5;796,7;3004;Shoes;Product_2049;159,34;Style_3004;Cotton;Client_1099;Japan
20;2023-11-16 13:08:28;1035;2032;5;1752,2;3009;Clothing;Product_2032;350,44;Style_3009;Leather;Client_1035;Australia
21;2023-05-03 18:58:44;1001;2041;4;675,72;3015;Clothing;Product_2041;168,93;Style_3015;Leather;Client_1001;UK
22;2023-09-14 21:02:42;1040;2036;6;370,14;3014;Clothing;Product_2036;61,69;Style_3014;Leather;Client_1040;Japan
23;2023-10-27 03:26:08;1064;2034;4;1263,72;3018;Clothing;Product_2034;315,93;Style_3018;Cotton;Client_1064;USA
24;2023-03-01 00:38:55;1022;2036;7;431,83;3014;Clothing;Product_2036;61,69;Style_3014;Leather;Client_1022;France
25;2023-09-19 23:28:17;1060;2002;7;2985,64;3020;Shoes;Product_2002;426,52;Style_3020;Cotton;Client_1060;Germany
26;2023-12-15 07:58:34;1064;2015;2;251,26;3006;Accessories;Product_2015;125,63;Style_3006;Silk;Client_1064;USA
27;2023-09-05 18:25:35;1093;2034;3;947,79;3018;Clothing;Product_2034;315,93;Style_3018;Cotton;Client_1093;USA
28;2023-12-29 13:01:16;1072;2036;1;61,69;3014;Clothing;Product_2036;61,69;Style_3014;Leather;Client_1072;UK
29;2023-02-28 07:09:33;1011;2006;8;2701,84;3007;Shoes;Product_2006;337,73;Style_3007;Polyester;Client_1011;USA
30;2023-07-30 23:12:26;1014;2039;9;1926,81;3002;Accessories;Product_2039;214,09;Style_3002;Cotton;Client_1014;UK
31;2023-10-19 11:47:45;1060;2042;4;279,28;3007;Accessories;Product_2042;69,82;Style_3007;Polyester;Client_1060;Germany
32;2023-05-25 15:39:49;1030;2012;6;2916,84;3003;Shoes;Product_2012;486,14;Style_3003;Polyester;Client_1030;Germany
33;2023-04-11 13:32:58;1035;2003;9;2072,07;3015;Shoes;Product_2003;230,23;Style_3015;Leather;Client_1035;Australia
34;2023-10-24 22:58:01;1085;2045;6;860,04;3015;Accessories;Product_2045;143,34;Style_3015;Leather;Client_1085;UK
35;2023-11-30 09:26:29;1037;2018;9;3223,98;3012;Accessories;Product_2018;358,22;Style_3012;Polyester;Client_1037;Italy
36;2023-07-03 06:36:24;1005;2040;4;1771,24;3020;Accessories;Product_2040;442,81;Style_3020;Cotton;Client_1005;Australia
37;2023-11-23 02:32:48;1083;2021;8;870,72;3010;Clothing;Product_2021;108,84;Style_3010;Silk;Client_1083;Germany
38;2023-05-23 11:11:43;1078;2015;9;1130,67;3006;Accessories;Product_2015;125,63;Style_3006;Silk;Client_1078;Australia
39;2023-02-18 19:47:45;1026;2033;4;1765,72;3007;Clothing;Product_2033;441,43;Style_3007;Polyester;Client_1026;Germany
40;2023-03-12 16:28:50;1062;2035;5;774,3;3004;Accessories;Product_2035;154,86;Style_3004;Cotton;Client_1062;Germany
41;2023-05-26 17:53:52;1004;2026;8;626,16;3012;Shoes;Product_2026;78,27;Style_3012;Polyester;Client_1004;Japan
42;2023-08-21 19:53:31;1089;2008;6;1798,44;3011;Accessories;Product_2008;299,74;Style_3011;Silk;Client_1089;Italy
43;2023-01-12 15:49:55;1042;2036;7;431,83;3014;Clothing;Product_2036;61,69;Style_3014;Leather;Client_1042;France
44;2023-09-08 07:38:23;1089;2048;3;548,28;3017;Accessories;Product_2048;182,76;Style_3017;Leather;Client_1089;Italy
45;2023-06-17 05:50:16;1018;2030;7;3304;3019;Clothing;Product_2030;472;Style_3019;Polyester;Client_1018;Australia
46;2023-12-14 14:29:11;1040;2023;8;1943,44;3015;Shoes;Product_2023;242,93;Style_3015;Leather;Client_1040;Japan
47;2023-11-18 08:51:54;1072;2042;6;418,92;3007;Accessories;Product_2042;69,82;Style_3007;Polyester;Client_1072;UK
48;2023-06-20 21:17:07;1039;2044;9;4089,15;3008;Clothing;Product_2044;454,35;Style_3008;Leather;Client_1039;UK
49;2023-05-17 06:32:04;1014;2014;6;2181,9;3012;Shoes;Product_2014;363,65;Style_3012;Polyester;Client_1014;UK
50;2023-01-08 15:38:23;1032;2014;9;3272,85;3012;Shoes;Product_2014;363,65;Style_3012;Polyester;Client_1032;France
